tag_id,tag_name_kor,tag_name_eng,tag_description
10,미국 독립 전쟁,American Revolutionary War,미국 독립 전쟁 게임은 1775~1783년 사이에 있었던 미국 독립 전쟁 기간에 있었던 일에 기반한 줄거리를 가지고 있습니다.
11,미국 서부,American West,"미국 서부 게임은 19세기 후반 미국 서부에서 일어난 사건에 기반한 줄거리를 가지고 있습니다. 이 종류 게임에서 등장하는 일부 테마와 이미지들은 카우보이, 보안관, 무법자, 식민화, 철도 등을 다루고 있습니다."
12,고대,Ancient,"고대 게임들은 기원전 3000년(이집트 왕조의 시작)부터 서기 476년(서로마 제국의 멸망) 사이의 고대 시대를 배경으로 한 줄거리를 가지고 있습니다. 이 종류 게임에서 등장하는 일부 테마와 이미지들은 고대 이집트, 그리스, 로마 문명을 다루고 있습니다."
13,동물,Animals,동물 게임들은 주로 중요 테마 또는 게임 플레이에 필요한 구성물로 동물을 포함하고 있습니다. 동물 게임들은 플레이어들에게 동물들을 관리하고 조종할 것을 요구합니다. 플레이어들은 이 종류 게임에서 동물(또는 동물들)의 역할을 맡을 수도 있습니다.
14,아라비안,Arabian,"아라비안 게임들은 중동의 아랍 반도에서 일어난 일들에 기반한 줄거리를 가지고 있습니다. 일반적으로는 페르시안 만 주변 지역도 포함할 수 있습니다. 이 종류 게임에서 등장하는 일부 테마와 이미지들은 사막, 궁전, 낙타, 보석, 오아시스 등을 다루고 있습니다."
15,항공 / 비행,Aviation / Flight,"항공 / 비행 게임들은 주로 비행기, 헬리콥터, 글라이더와 같은 기계를 사용한 비행과 관련이 있습니다."
16,블러핑,Bluffing,블러핑 게임들은 플레이어들이 속임수를 사용하여 각자의 목표를 달성하도록 유도합니다. 모든 블러핑 게임들은 공개되지 않는 정보의 요소를 담고 있습니다.
17,서적,Book,"서적 게임들은 그 자체로는 게임이 아닙니다. 공통적인 게임 구성물(격자 게임판, 종이, 카드, 도미노 타일, 주사위 등등)을 사용하여 즐길 수 있는 규칙과 게임 설계도를 담은 책입니다. 서적 게임들 중에는 'Steve Jackson's Sorcery!' 시리즈같이 게임 구조로 줄거리, 주사위 굴림, ""다중 선택 단락 시스템"" 등을 채용한 게임들도 있습니다."
18,카드 게임,Card Game,"카드 게임은 게임에 카드만 사용하거나, 핵심 구성물이 카드인 게임입니다. 카드게임에는 한 상품에 필요한 모든 카드가 담겨있어 한 번 구매하면 단독으로 게임이 가능한 스탠드-얼론 카드 게임과, 일명 수집형 카드 게임(CCG, Collectable Card Game)이라고 불리는, 플레이어들이 스타터를 구매하고 더 강력한 덱을 만들려고 부스터팩을 추가로 구매하는 게임이 있습니다."
19,어린이 게임,Children's Game,"어린이 게임은 어린이들을 위해 설계된 아주 쉽고 간단한 규칙과 테마를 가지고 있습니다. 그러나, 대부분 유명한 어린이 게임은 모든 연령의 게이머들이 즐겁게 즐길 수 있습니다."
20,도시 건설,City Building,"도시 건설 게임에서는 플레이어들이 효율적이고, 강력하며, 수익이 나는 방식으로 도시를 건설하고 관리해야 합니다."
21,내전,Civil War,"내전 게임은 일반적으로 하나의 나라에 있는 둘 이상의 집단 사이에서 벌어지는, 국가 정부를 차지하기 위한 폭력적인 전투에 기반한 줄거리를 가지고 있습니다. 내전 게임 중 다수는전쟁 게임(Wargame)으로 분류됩니다."
22,문명,Civilization,"문명 게임에서 플레이어들은 인간 사회를 관리하고 발전시킵니다. 각 플레이어의 목표는 보통 사회에 이득이 되는 방향으로 시민을 고용하고, 그들을 진보시켜서 게임 진행의 결과 자신의 문명이 다른 문명에 비해 우월하게 만드는 것입니다. 문명 게임에서 플레이어들은 보통 각자 자신의 사회를 독립적으로 구성하지만, 각 플레이어 사이에서의 전쟁과 외교 등을 통해 자신의 이득을 취하거나 상대방을 괴롭힐 수 있습니다."
23,수집형 게임,Collectible Components,"수집형 게임은 게임 구성물을 한 번에 사는 것이 아닌, 게임을 하기 위해 구매해야하는 구성물이 점점 늘어가는 게임을 말합니다.이런 게임들은 보통 재생산이 불가능하기때문에, 게임 환경이 일시적입니다(계속 바뀝니다). 이들 중 많은 게임의 경우, ""완전판""을 모으는 것이 일종의 취미로서 여겨집니다.대부분의 유명한 수집형 게임들은 ""수집형 카드 게임(Collectable Card Game(CCG))""이거나, ""미니어쳐 게임(Miniature Game)""입니다."
24,만화 / 연재물,Comic Book / Strip,"만화 / 연재물 게임은 만화 / 연재물에 기초한 줄거리와 테마를 가진 게임입니다. 만화 / 연재물 게임은 단독으로 설계되는 경우도 있고, 이전에 출판된 다른 게임에 만화 / 연재물의 배경 등을 입히는 경우도 있습니다(예:히어로클릭스)"
25,추리,Deduction,"추리 게임은 플레이어들이 가능성 있는 전제들에 기반하여 결론을 이끌어내도록 하는 게임입니다. 추리 게임은 각각 서로 다른 방식의 논리적 추론 방식을 사용하기 때문에, 그 종류가 매우 다양합니다.스코틀랜드 야드와 같은 '고양이와 쥐' 게임에서 플레이어들은 관찰과 그를 통해 돌아오는 피드백(이는 반드시 진실입니다)을 활용하여 가능성을 점점 좁혀가고, 계속 움직이고 있는 상대방을 알맞은 위치에서 잡게 됩니다.클루와 같은 소거형 추리 게임에서 플레이어들은 전체 목록 중에서 가능성을 점점 좁혀나가는 방식으로 올바른 답을 찾게 됩니다.Werewolf게임과 같은 신호 게임은 플레이어들끼리 주로 받는 피드백(이는 진실이 아닐 수도 있습니다)을 통해 2~3가지 주요 선택 중에 결론을 찾아내는 방식으로 진행됩니다. 마지막으로,Zendo와 같이 무한한 가능성에서 플레이어들이 일반 규칙을 끌어내는 방식의 귀납법적 게임도 여기에 포함됩니다."
26,주사위,Dice,"주사위 게임은 게임에 주사위만 사용하거나, 핵심 구성물이 주사위인 게임입니다. 주사위 게임은 전통적으로 대부분 오직 주사위 굴림 메커니즘을 채용합니다(예시:요트 다이스,페루도,캔트 스탑등)"
27,경제,Economic,"경제 게임에서 플레이어들은 상품의 생산, 분배, 거래, 소비 시스템을 관리합니다. 경제 게임들은 어떤 방법으로 시장 경제를 구현합니다. 이 용어는 자원 관리 게임과 상호 호환하여 쓰입니다."
28,교육,Educational,"교육 게임들은 보통 특정 주제에 대해 가르치거나, 어떤 개념을 확대하거나, 발달 과정을 강화하거나, 역사적 사건 또는 문화를 이해하게 하거나, 어떠한 기술을 익히는 것을 돕기 위한 목적으로 설계됩니다."
29,전자기기,Electronic,전자기기 게임은 전자기기를 게임의 핵심 구성물로 사용하는 게임을 말합니다. 전기도구 게임(예:오퍼레이션)과는 조금 다릅니다. 전자기기 게임의 구성물은 보통 전기 회로망과 때로는 소형 컴퓨터를 포함하고 있기 때문입니다.
30,환경,Environmental,환경 게임은 환경보호와 관리를 줄거리와 테마에 포함한 게임을 말합니다.
31,확장 게임,Expansion for Base-game,"확장 게임은 원래의 기본판 게임을 확장하는 규칙과 추가 구성물들을 포함한 게임을 말합니다. 확장 게임만으로는 게임을 할 수 없습니다. 확장 게임은 기본판 게임과 연결하여 사용해야 합니다.기본판 게임과 연결되는 확장 게임들은 보드게임긱(boardgamegeek.com)의 게임 목록을 통해서 찾아보실 수 있습니다. ""Information"" 부분의 "" ""Expanded by""에서 찾아보실 수 있습니다. 또한 ""Linked Item"" 부분에서도 찾아보실 수 있습니다."
32,탐험,Exploration,탐험 게임에서 플레이어들은 새로운 지역과 영토를 탐색하고 특별한 물건이나 상품을 발견합니다. 때로는 교환 상대가 될 사람을 찾아야하기도 합니다.
33,팬 확장,Fan Expansion,"팬 확장은 기본판 게임을 설계한 디자이너나 출판사가 아닌 다른 사람에 의해 설계된 확장 게임을 지칭하는 보드게임 긱의 명칭입니다. 다른 말로는 ""비공식 확장""이라고도 합니다.게임 제목에 ""팬 확장""이라고 붙이는 관습으로부터 생긴 단어입니다.도미니언에 감명을 받은 사람들이 진행한 비허가 작업과 공식 상품 라인업과 혼동되었기 때문입니다."
34,판타지,Fantasy,"판타지 게임은 가상 세계에 존재하는 시나리오나 테마를 기반으로 한 게임입니다. 보통 구성이나 테마, 세계관 등에 마법이나 다른 초자연적인 형태를 사용하는 장르를 말합니다. 판타지는 보통 과학이나 섬뜩한 주제를 다루지 않는다는 기대로 인해 공상 과학이나 공포 장르와는 구분되지만, 이 세 가지 주제들은 겹치는 경우가 많습니다.판타지 게임의 요소들은 보통 아래 내용을 담는 경우가 많습니다:a - 판타지 서적이나 만화에서 흔히 언급되는 생물들: 오크, 트롤, 고블린, 드래곤 등b - 기구나 기술로서 사용할 수 있는 마법c - 선과 악의 세력 사이에서 벌어지는 투쟁을 포함할 수 있습니다."
35,농사,Farming,"농사 게임에서 플레이어들은 농지를 건설하고 경영합니다. 농지에서는 작물을 심거나 가축을 기르고, 종종 이들을 팔거나 교환하기도 합니다."
36,전투,Fighting,전투 게임에서 플레이어들은 캐릭터를 조종하여 좁은 공간에서의 육박전을 벌입니다.
37,게임 시스템,Game System,"게임 시스템은 그 자체가 게임은 아니지만, 게임을 하는데 사용되는 항목입니다.Piecepack,Decktet,Shibumi,GEMJI,ChestegoandRainbow Deck같은 것이 그 예입니다."
38,공포,Horror,공포 게임은 소름끼치고 초자연적인 요소들을 묘사하는 테마나 이미지에 기반한 게임을 말합니다.
39,유머,Humor,"유머 게임은 큰 웃음을 유발하는 테마나 게임 진행을 포함한 게임들을 말합니다. 좀 더 자세하게는, 유머 게임은 플레이어들이 게임의 주요 목적 중 하나로 웃긴 짓, 코미디, 농담, 풍자에 참여하도록 만듭니다."
40,산업 / 제조,Industry / Manufacturing,산업 / 제조 게임에서 플레이어들은 원자재를 상품으로 제조하기 위한 도구나 기계들을 만들고 관리하며 작동시킵니다.대부분의 유명한 산업 / 제조 게임의 다수는경제게임입니다.
41,한국 전쟁,Korean War,한국 전쟁 게임은 1950년부터 1953년까지 있었던 남한과 북한(그리고 그 동맹국들) 사이의 군사적 분쟁을 기반으로 한 게임입니다.대부분의 한국 전쟁 게임은전쟁 게임으로 분류되어 있습니다.
42,마피아,Mafia,"마피아 게임은 전통적인 시칠리아 범죄 조직과 관련된 테마와 시나리오를 기반으로 합니다. 그러나, 마피아 게임 중 일부는 다른 범죄 조직과 관련되어 있기도 합니다."
43,수학,Math,"수학 게임에서 플레이어들은 너무 명확하게도, 게임의 목적을 달성하기 위해 수학적 지식과 개념을 사용해야 합니다."
44,성인,Mature / Adult,"성인 게임은 어린 게이머들에게는 적합하지 않고, 일부 성인들에게도 거슬릴 만한 유머나 상황을 다루는 게임입니다. 이들 중 상당수는 성적인 유머나 음주와 관련된 내용을 포함하고 있습니다."
45,미로,Maze,미로 게임에서 플레이어들은 게임판에 그려진 일련의 경로를 탐색해야 합니다.
46,의학,Medical,"의학 게임은 자연 치유학과 관련된 테마를 가지고 있습니다. 이러한 테마에는 수술, 치료제, 재활, 회복, 물리치료, 정신의학, 제약 및 처방, 그리고 다른 의학 관련된 항목들이 포함됩니다."
47,중세,Medieval,"중세 게임은 약 5세기(서기 476년, 서로마 제국 멸망)에서 15세기(1492년, 콜럼버스 아메리카 대륙 도달로 시작된 유럽 국가의 식민지화) 사이의 유럽과 아시아 사회를 기반으로 한 테마를 가지고 있습니다."
48,기억력,Memory,기억력 게임에서 플레이어들은 게임의 목적으로서 게임 내 이전 차례에서 일어났던 사건이나 정보를 유지하고 되돌이켜야 합니다.
49,미니어처,Miniatures,"구성물에 미니어처(*작게 축소된 모형, 주로 게임말 등이 미니어처로 표현 됨)가 포함돼 있는 모든 게임이 미니어처 게임인 것은 아닙니다.미니어처 게임은 '게임 장면'을 표현하는데 미니어처를 사용하는 게임들을 말합니다. 이러한 게임에서 미니어처는 핵심 구성물이고, 미니어처의 주변에 일어나는 일들을 체험하는 것이 플레이의 주요 요소입니다."
50,현대전,Modern Warfare,"현대전 게임은 2차 세계대전 이후 일어났던 군사적 분쟁에 대해서 다룹니다(1945년부터 현재까지). 이 시기에 일어난 두 전쟁은 각자 자신만의 카테고리를 가지고 있습니다:한국 전쟁(1950 ~ 1953년),베트남 전쟁(1945 ~ 75년)."
51,영화 / TV / 라디오 테마,Movies / TV / Radio theme,"영화 / TV / 라디오 테마 게임들 중에는 테마적으로 유명한 영화나 TV 프로그램, 또는 라디오 프로그램과 연관되어 있는 게임들이 있습니다. 이와 다른 종류의 영화 / TV / 라디오 게임들은 이러한 미디어에 대한 지식을 요구하는 게임들도 있습니다. 또는 게임 환경이 영화 / TV / 라디오 산업과 관련이 있는 게임들도 영화 / TV / 라디오 게임으로 분류됩니다."
52,살인 / 미스터리,Murder/Mystery,살인 / 미스터리 게임은 해결되지 않은 살인 사건이나 잡히지 않은 살인자가 등장하는 게임입니다. 이 게임들은 보통 플레이어에게 이 범죄들을 조사하고 상세한 범죄 내용과 가해자를 밝혀내도록 합니다.
53,음악,Music,"음악 게임들은 테마적으로 음악이나 악단, 또는 음악 산업과 관련된 게임들입니다. 많은 음악 게임들이 플레이어에게 음악에 대한 지식을 묻는데(Cranium Pop 5,Encore), 일부 게임들은 게임의 배경에 테마로서 음악을 사용하기도 합니다(Schrille Stille,Battle of the Bands)."
54,신화,Mythology,"신화 게임은 보통 게임에 등장하는 세계나 인물들이 어떻게 탄생했는지, 특히 그들이 세계의 고대 문명 서사와 어떤 관련이 있고, 고대 문명 서사에 어떤 기반을 두었는지에 대한 테마적 서사를 포함하고 있습니다."
55,나폴레옹 시대,Napoleonic,나폴레옹 시대 게임은 프랑스 혁명(1789-1799)에서 나폴레옹 전쟁(1803-1815) 사이 시대에 기반한 줄거리를 다룹니다.
56,해상,Nautical,"해상 게임은 게임 진행 또는 테마의 중요 구성물로서 선원, 배, 해양 항해 등을 활용합니다. 대부분의 해상 게임에서 플레이어들은 게임 목표로서 효과적으로 배를 조종해야 합니다."
57,협상,Negotiation,"협상 게임들은 다른 플레이어들과 거래를 하거나 동맹을 맺고, 적절할 때 배신하는 것을 장려합니다. 이러한 거래에 참여하지 않고 승리할 수 있는 경우는 매우 드뭅니다.협력 게임(Cooperative Game)과는 다르게, 협상 게임들은 대부분 경쟁적이며, 토론을 통해 플레이어들이 서로 합의할 수 있는 일정한 시간을 줍니다."
58,소설 기반 게임,Novel-based,소설 기반 게임들은 유명한 소설이나 소설 시리즈와 테마적으로 연관되어 있습니다.
59,숫자,Number,숫자 게임에서 플레이어들은 목표를 달성하기 위해 숫자를 사용하거나 변용해야 합니다.
60,파티 게임,Party Game,"파티 게임들은 집단적 상호작용을 독려하는 게임들입니다. 이러한 게임들은 보통 쉽게 게임을 준비할 수 있고 규칙이 간단하며, 많은 사람들이 참여할 수 있고 게임 시간이 짧습니다."
61,창과 총,Pike and Shot,"창과 총 게임들은 16세기에서 17세기, 18세기 초까지를 기반으로 한전쟁 게임입니다."
62,해적,Pirates,"해적 게임들은 해적질에 대한 테마와 줄거리를 가지고 있습니다. 해적 게임에 등장하는 대부분의 유명한 테마와 이미지 중 일부는 보물 사냥, 해상 약탈, 검과 대포, 액션 활극, 그리고 선박 경주 등을 포함하고 있습니다. 많은 해적 게임들은 20세기 이전의 시대를 배경으로 합니다."
63,정치,Political,정치 게임에서 플레이어들은 캐릭터의 권위를 이용하여 사회 활동과 정책을 조절해야 합니다.
64,나폴레옹 시대 이후,Post-Napoleonic,나폴레옹 시대 이후 게임은 19세기 대부분에 해당하는 나폴레옹 전쟁(1815)과 1차 세계대전(1914) 사이 시기를 기반으로 합니다.
65,선사시대,Prehistoric,"선사시대 게임들은 역사가 기록되기 전 시대의 줄거리를 다룹니다. 이러한 기록되지 않은 역사들은 보통 시대에 따라 분류되는데, 석기 시대, 청동기 시대, 철기 시대가 그것입니다."
66,출력 가능 게임,Print & Play,"출력 가능 게임(또는 일반적인 게임들의 출력 가능 버전)은 물리적인 형태로 출시되지 않습니다. 대신, 게임의 규칙과 (대부분의) 구성물은 디지털 형태로 사용 가능하고, 플레이어들은 이를 출력해서 스스로 조립해야 합니다. 때로는, 출력이 불가능한 형태의 추가적인 구성물을 요구하기도 합니다."
67,퍼즐,Puzzle,"퍼즐 게임은 플레이어들이 퍼즐을 풀어야 하는 게임입니다. 퍼즐 게임에서 플레이어들은 목표에 도달하기 위해 퍼즐 문제를 해결하고, 패턴을 인식하고, 순서를 조직해야 합니다."
68,레이싱,Racing,"레이싱 게임의 목적은 장애물을 피해 운행하고 조종해서, 보통은 상대방보다 더 빠른 스피드나 훌륭한 조종을 통해 목적지에 먼저 도착하는 것입니다."
69,실시간,Real-time,"실시간 게임에서, 플레이어들은 가능한 한 빨리 차례를 수행해야 하며, 때로는 동시에 차례를 진행합니다. 일부 실시간 게임에서 정해진 시간 내에 해야 할 일을 못한 플레이어는 벌칙을 받기도 합니다."
70,종교,Religious,"종교 테마 보드게임들은 현재 세계의 신앙 체계와 관련된 서사와 환경, 인물들을 특징으로 하는데, 보통 이들의 역사적인 면과 시대의 흐름에 따른 발전에 대해 다루거나, 신성한 경전과 교리 조항과 같은 신앙의 실제적 대상에 대해서 다룹니다.종교 게임으로 분류된 몇몇 보드게임들은 경전에서 따온 특정 환경이나 이야기를 직접 호칭하기도 하는데, 가나안 땅에 고대 히브리인들이 정착하는 히브리 성경 이야기를 다루는The Settlers of Canaan의 경우가 그 예입니다. 다른 종교 게임 중에서는Bible Trivia같이 성경의 문구를 직접 인용하는 경우도 있습니다. 또는Credo!: the Game of Dueling Dogmas나Intelligent Design vs. Evolution같이 재미있게 기독교 신앙의 일면을 탐험하려는 시도도 있습니다."
71,르네상스,Renaissance,"르네상스 게임들은 14세기 말(이탈리아에서 르네상스가 발호했을 때)부터 16세기 근처까지, '화기'가 아직 전장을 지배하기 전의 시대를 다룹니다."
72,SF,Science Fiction,"SF 게임은 지금보다 더 진보된 과학기술에 대한 상상에 뿌리를 둔 게임입니다. 진보된 과학기술이라고 해서 반드시 미래가 배경인 것은 아니며, 일부는 과거를 배경으로 일종의 대체역사를 다루기도 합니다. (쥘 베른의 일부 작품이나, 스타 워즈 시리즈가 이런 종류에 속합니다.) 인기있는 SF 게임은 우주 공간을 배경으로 삼은 경우가 다수이며, 개중에는 외계 종족이 등장하는 경우도 종종 있습니다."
73,우주 탐험,Space Exploration,우주 탐험 게임은 보통 외계 공간을 여행하고 모험하는 것과 관련된 줄거리와 테마를 가지고 있습니다. 종종 플레이어들은 게임의 목적으로 자원과 영토를 찾아 얻어야 합니다.
74,스파이 / 비밀 요원,Spies/Secret Agents,"스파이 / 비밀 요원 게임은 스파이 행위와 관련된 테마와 줄거리를 가지고 있습니다. 종종 플레이어들은 스파이 또는 비밀 요원 역할을 맡은 다른 플레이어의 정체를 밝혀내거나, 그들이 가진 비밀 정보를 밝혀내야 합니다. 대부분의 유명한 스파이 / 비밀 요원 게임의 상당수는블러핑또는추리게임으로 분류되는데, 이는 그들에게 비밀 정보의 요소가 있기 때문입니다."
75,스포츠,Sports,"스포츠 게임은 스포츠의 물리적 활동과 관련된 테마와 줄거리를 가지고 있습니다. 가장 인기있는 스포츠 게임에 주로 등장하는 스포츠 종목은, 축구와 레이싱(차, 보트, 자전거, 말)입니다."
76,영토 건설,Territory Building,"영토 건설 게임에서 플레이어들은 특정 지역에 대한 통제권을 설정 또는 확보해야 합니다. 때로 이런 게임에서지역 우선권 / 영향력또는감싸기메커니즘을 채용합니다. 후자의 경우 게임 초반에는 영역이 설정되지 않고, 게임이 진행됨에 따라 만들어집니다."
77,기차,Trains,기차 게임은 철도와 철로를 이용하는 탑승물의 테마나 이미지를 사용합니다. 대부분의 유명한 철도 게임 중 상당수는 19세기 후반에서 20세기 초반 시대를 기반으로 합니다(Lunar Rails와 같은 일부 게임은 미래 시대를 기반으로 하는 경우도 있습니다).
78,운송,Transportation,운송 게임은 한 장소에서 다른 장소로 사람 또는 물건을 옮기는 행위와 관련된 게임 진행 방식을 가지고 있습니다. 대부분의 유명한 운송 게임 중 상당수는기차게임입니다.
79,여행,Travel,"여행 게임은 서로 다른 지리적 장소 사이를 이동하는 것을 목적으로 한 게임 진행 방식을 가지고 있습니다. 보통, 여행 게임의 게임판에는 주로 지도가 그려져 있습니다."
80,트리비아,Trivia,트리비아 게임은 보통 플레이어들의 일반 상식이나 대중 문화에 대한 지식을 시험합니다.
81,비디오 게임 테마,Video Game Theme,"비디오 게임 테마 게임은 테마적으로 비디오 게임과 관련되어 있거나, 비디오 게임 프랜차이즈 또는 장르에서 영감을 받은 게임을 의미합니다. 이 테마에 기반하여 만들어진 초기 게임으로PAC-MAN Game과Frogger가 있습니다."
82,베트남 전쟁,Vietnam War,"베트남 전쟁 게임은 1945년부터 1975년까지 있었던 인도차이나 반도(베트남, 캄보디아, 라오스)에서의 군사 작전을 기반으로 한 게임입니다.참고: 인도차이나 전쟁(1945-64) - 프랑스와 그 동맹과 베트민과 그 동맹 사이에 있었던 전쟁. 베트남 전쟁(1965-75) - 미국과 그 동맹과 북베트남과 그 동맹 사이에 있었던 전쟁대부분의 베트남 전쟁 게임은전쟁 게임으로 분류됩니다."
83,전쟁 게임,Wargame,"전쟁 게임은 고대 전쟁부터 현대전, 미래 전쟁까지 다양한 시대의 전쟁을 다루는 게임입니다. 게임에 따라서 아주 작은 게임판에서 벌어지는 소규모 유닛의 전투, 넓은 공간에서 아주 세부적으로 묘사되는 전쟁, 전 세계적인 규모의 전쟁 등 다양한 방식으로 전쟁이 묘사됩니다. 많은 전쟁 게임들이 실제 역사적 사건을 배경으로 만들어지지만, 실제 역사에서 일어나지 않은 가상의 전쟁을 배경으로 삼기도 하며 판타지나 SF 요소에 뿌리를 둔 게임도 있습니다. 가장 자주 쓰이는 소재는 2차 세계 대전이고, 나폴레옹 전쟁과 미국 남북 전쟁 등이 그 뒤를 잇습니다. 물론 이외에도 굉장히 많은 사건들이 전쟁 게임의 소재로 다뤄지기 때문에, 여러분이 어떤 전쟁에 관심이 있건 높은 확률로 그와 관련된 게임을 찾아낼 수 있을 겁니다."
84,단어 게임,Word Game,단어 게임에서 플레이어들은 언어에 대한 지식을 경쟁적으로 활용해야 합니다. 단어 게임에서의 언어 지식은 철자법과 의미에 초점을 맞춥니다.
85,1차 세계 대전,World War I,1차 세계 대전 게임은 1914년부터 1918년까지 있었던 군사 작전을 다룹니다.
86,2차 세계 대전,World War II,"2차 세계 대전 게임은 1939년부터 1945년까지 유럽, 아시아, 아프리카에서 있었던 다양한 군사 작전을 기반으로 한 줄거리를 가지고 있습니다."
87,좀비,Zombies,"좀비 게임은 움직이는 시체와 관련된 테마와 이미지를 포함하고 있습니다. 좀비게임에서 가장 유명한 줄거리 일부는 종말론적 테마와 공포, 전투 테마를 포함하고 있습니다."
88,행동 회수,Action Retrieval,"각 플레이어들은 사용 가능한 행동 모음을 가지고 있습니다. 이는 카드나 토큰, 또는 다른 방법으로 표현됩니다. 한번 행동을 시행하고 난 후, 해당 행동은 소모되며 회수하기 전까지는 다시 시행할 수 없습니다. 행동 회수는 보통 그 자체로 행동이거나, 차례 대신 사용할 수 있습니다."
89,행동 타이머,Action Timer,"플레이어들은 각자 소유한 타이머를 행동 칸에 놓고, 행동을 수행합니다. 타이머가 끝났을 때, 다른 위치로 이동하여 행동을 수행할 수 있습니다. 이 메커니즘을 채용한 게임에는 차례가 없습니다. 자신의 타이머가 만료된 후 언제든 타이머를 움직일 수 있습니다."
90,행동 / 사건,Action / Event,"각자의 차례에 플레이어들은 행동 포인트와 사건이 같이 표시된 카드를 사용합니다. 카드를 사용한 플레이어는 행동 포인트를 사용할지 사건을 시행할지 결정해야 합니다. 행동 포인트를 사용하기를 선택하면, 보통 사건은 다른 플레이어에게 일어납니다."
91,이익 토큰,Advantage Token,"한 플레이어는 특별한 행동을 수행하거나 행동을 수정할 수 있게 하는 토큰을 가지고 있습니다. 한 번 사용하면, 그 토큰을 다른 플레이어에게 넘깁니다."
92,동맹,Alliances,플레이어들은 게임 진행 중 바꿀수 있는 공식적인 관계를 가집니다.
93,지역 우선권 / 영향력,Area Majority / Influence,여러 플레이어들이 특정 지역을 소유하고 해당 지역에 있는 자신의 비례 영향력에 기반하여 이득을 얻을 수 있습니다.
94,지역 이동,Area Movement,"게임판이 반복 영역과 반복되지 않는 영역, 규칙적인 영역과 불규칙적인 간격으로 나뉘어 인접성과 이동을 결정합니다."
