game_id,game_title_eng,game_title_kor,game_time,game_min_player,game_max_player,game_detail,game_evaluation
10,Donkey Derby,동키더비,25,3,5,"동키더비는 2~6명의 사람들이 함께 플레이하는 경주 게임입니다. 플레이어들은 주사위를 굴려 나아가는 방식으로 돈키를 이동시킵니다. 게임은 각 돈키가 개인적인 이동 경로를 가지며, 플레이어들은 돈키가 당근을 획득하거나 장애물을 피해야하는 메카니즘을 통해 전략을 세워야 합니다. 게임의 목표는 자신의 돈키를 최대한 빠르게 도착 선까지 이동시키는 것입니다. 이런 시스템을 통해 동키더비는 운과 전략 사이의 균형을 잘 이루어지는 게임으로 재미를 선사합니다.","사용자들은 동키더비 게임에 대해 전반적으로 긍정적인 평가를 내렸습니다. 플레이어들은 게임의 룰이 단순하면서도 재미 있다고 언급하였으며, 말의 선택과 경주의 전략이 게임의 승패를 결정하는 것이 중요하다는 것을 인지하였습니다. 또한, 가족이나 친구들과 함께 즐길 수 있는 게임이라는 점도 매력적이라고 입을 모았습니다. 그러나 일부 플레이어들은 동물 대신 차량 또는 직업 등 다양한 테마를 제안하면서 조금 더 다양성을 제공하면 좋겠다는 의견을 제시하였습니다."
11,Drecksau,드렉사우,10,2,4,"드렉사우는 간단한 카드 게임으로, 각 플레이어는 돼지를 상대로 플레이합니다. 목표는 돼지를 가능한 한 더러운 상태로 유지하는 것이며, 한편으로 세척되려는 시도를 막아야 합니다. 플레이어는 더럽히기, 아무것도 안하기, 기후를 변경하거나 세척하는 카드를 놀며 돼지의 상태를 관리합니다. 플레이어들은 기후 카드를 사용해 해당 턴의 날씨를 변경할 수 있습니다. 기후는 세척을 방해하거나 도와줍니다. 게임은 모든 돼지가 더러워지면 종료되고, 가장 더러운 돼지를 가진 플레이어가 이깁니다.","많은 사용자분들이 드렉사우를 매우 즐기셨습니다. 특히 이 게임이 초보자나 어린이들도 쉽게 이해하고 접근할 수 있어 유쾌한 가족 활동으로 추천한다는 평가가 많았습니다. 또한, 상호 작용이 풍부하고 전략적인 요소도 존재함으로써 게임에 흥미를 느끼셨다는 분들도 많았습니다. 단, 게임의 승리가 모두 운에 달려있다는 점이 아쉽다는 의견도 작게 있었습니다. 아주 쉽고 빠른 게임이니 경쟁적인 재미를 찾는 분들께 강력 추천합니다."
12,Dixit,딕싯,20,4,6,"딕싯은 3-6명의 참여자가 속담, 동화, 그림 등으로 둘러싼 교묘한 추측을 바탕으로 승자를 가려내는 보드게임입니다. 한 플레이어는 포토 카드를 뽑고 자신의 카드를 설명하는 문장을 만듭니다. 다른 플레이어들은 그 설명에 가장 잘 부합하는 자신의 카드를 선택하고 제출합니다. 이 후 모든 카드를 나열하고 플레이어들은 원래의 카드를 추측합니다. 정확하게 추측하거나 자신의 카드가 추측된 플레이어가 점수를 얻습니다. 가장 많은 점수를 얻은 사람이 우승입니다.","딕싯은 평가들 사이에서 매우 인기있는 게임으로 꼽혔습니다. 상상력과 창의력을 키우는데 도움이 되며, 다양한 수준의 플레이어들 사이에서 즐길 수 있도록 설계되었다는 점에서 특히 호평 받았습니다. 그림 카드의 아름다움과 복잡성에 대한 많은 찬사가 있었으며, 이 게임이 전략적 사고를 요구하면서도 재미있게 플레이할 수 있다는 점이 사랑받았습니다. 그러나 일부 사용자들은 게임의 규칙이 처음에는 약간 복잡해 보일 수 있다고 지적하였으나, 진행함에 따라 이해하기 쉽다는 의견도 있었습니다."
13,Dixit: Memories,딕싯 : 메모리즈,20,4,6,"딕싯 : 메모리즈는 이미지 선명하게 표현된 84장의 카드로 구성된 판탕기 게임입니다. 각 플레이어는 카드를 선택하고 그 카드를 설명하는 문장을 만듭니다. 이후 플레어들은 그 문장이 어떤 카드를 설명하는지 추측합니다. 점수는 다른 플레이어들이 자신의 카드를 정확하게 찾지 못하거나 모두 찾을 때 주어지며, 선택받지 못한 카드를 맞춘 플레이어도 점수를 얻습니다. 딕싯 : 메모리즈는 상상력과 창의성을 요구하는 게임으로, 플레이어 간의 의사소통을 통해 게임이 전개됩니다.","딕싯 : 메모리즈는 기존의 딕싯 시리즈와 마찬가지로 창의적인 설명과 추리 능력을 요구하는 보드게임입니다. 뛰어난 아트워크와 다양한 카드들로 이루어진 딕싯 : 메모리즈는 플레이어들의 호평을 받았습니다. 일부 사용자들은 이전 버전보다 더 복잡하고 난해하다는 의견도 있었지만, 그렇게 만드는 것이 바로 이 게임의 매력이라는 측면에서 긍정적인 평가를 받았습니다. 이 게임에 대한 전반적인 피드백은 긍정적인 편이며, 멋진 그림들과 독특한 게임플레이 방식으로 유저들에게 재미를 선사했습니다."
14,Dixit: Revelations,딕싯 : 예지,20,4,6,"딕싯 : 예지는 기존의 딕싯 게임에 새로운 카드 84장을 추가하는 확장 팩입니다. 여전히 각 플레이어는 이미지의 추상적인 설명을 제공하고 다른 플레이어들은 그 설명에 가장 잘 맞는다고 생각하는 카드를 뽑습니다. 모든 카드가 공개되면 플레이어들은 원래 카드를 누가 뽑았는지 추측합니다. 설명이 너무 명확하면 아무도 찾지 못하고, 너무 모호하면 모두가 찾을 수 있습니다. 딕싯 : 예지로 게임의 다양성을 더욱 높여줍니다.","딕싯 : 예지는 높은 점수를 받았습니다. 사용자들은 게임의 화려하고 환상적인 그래픽 카드에 합창하며, 새로운 카드들이 게임에 더 많은 재미를 더했다고 표현하였습니다. 그러나 몇몇 사용자들은 그들이 그림의 의미를 이해하는데 어려움을 겪었다고 지적하였습니다. 더욱이, 이전 버전의 딕싯과 비교하였을 때, 재미와 교육적 가치라는 점에서 딕싯 : 예지는 더 높은 점수를 받았습니다. 이 게임은 가족 혹은 친구들과 관계를 유지하고, 상호작용하며, 창의적인 생각을 공유하는 데 도움이 된다는 점을 많은 사용자들이 인정하였습니다. 그런데도, 약간의 조정이 필요한 부분들이 있다는 점을 지적하는 의견도 있었습니다."
15,Dixit: Quest,딕싯 : 퀘스트,20,4,6,"딕싯 : 퀘스트는 상상력과 추리력을 동원하는 아트 카드 게임으로, 2~6인이 참여할 수 있습니다. 각 플레이어는 카드의 판타지 아트에 대한 재치 있는 설명을 생각하고 이를 다른 플레이어에게 말합니다. 그런 다음 모든 플레이어는 자신이 생각하는 맞는 카드를 선택하고, 실제로 맞힌 플레이어에게 포인트가 주어집니다. 따라서 카드에 대한 설명은 너무 명확하거나 애매하지 않게, 다른 사람들이 이해할 수 있는 수준으로 해야 합니다. 게임은 가장 먼저 일정 점수에 도달한 플레이어가 승리하게 됩니다.","딕싯 : 퀘스트는 많은 보드게임 애호가들로부터 높은 평가를 받고 있습니다. 원래의 딕싯 게임에 비해 카드의 그림이 더 다양하고 복잡하다는 피드백을 받았습니다. 플레이어들은 이러한 변화가 게임의 복잡성을 높이며, 동시에 창의적인 추측을 더욱 자극한다고 말합니다. 이 게임은 소통과 상상력이 중요한 부분을 차지하며, 친구들과의 모임이나 가족 활동 시간에 즐겁게 즐길 수 있습니다. 가장의 설명에 맞추어 카드를 맞추는 데 필요한 추리 능력이 플레이어들에게 호평받았습니다."
16,La Boca,라보카,40,4,4,"라보카는 2인용 파트너십 퍼즐 게임으로, 플레이어들은 파트너와 함께 정해진 시간 안에 색과 형태가 다른 블록을 사용하여 특정 패턴을 만들어야 합니다. 시간과 블록 배치에 따라 점수가 주어지는데, 블록 배치가 틀리면 페널티 점수가 부여됩니다. 게임 순서는 돌아가면서 진행되며, 라보카의 목표는 가능한 많은 점수를 얻는 것입니다. 이 게임은 전략적 사고와 빠른 판단력, 팀워크를 요구합니다.","사용자들은 라보카 게임에 대해 똑같은 모양의 건물을 빠르게 짓는데 팀워크와 전략이 필요하다며 높은 평가를 내리고 있습니다. 충분한 커뮤니케이션이 요구되며, 시간과 능력을 동시에 측정하여 상황 판단 능력을 키울 수 있는 점을 장점으로 꼽았습니다. 게임의 목표와 규칙이 단순하여 누구나 쉽게 접근할 수 있다는 점은 초보자도 즐길 수 있다는 사실을 의미하며, 운이 참여하지 않는 순수 전략 게임으로 인식되었습니다. 그러나 몇몇 사용자들은 조각들이 잘리지 않아 조립하는 데 번거로움을 느꼈다는 단점을 지적하였습니다."
17,Nori Labirint,라비린스,20,2,4,"""라비린트""는 독특한 입체 퍼즐 보드게임이다. 플레이어들은 미로를 이동하면서 필요한 아이템을 찾는다. 그러나 미로는 계속해서 변경되기 때문에 제시간에 목표물을 찾아 도착지점에 도달하는 것이 중요하다. 이 게임은 계획력과 전략성을 요구하며, 다른 플레이어들의 움직임을 예측하고 차단하는 능력도 중요하다. 언제든지 바뀔 수 있는 미로의 구조에 더불어 플레이어의 선택은 게임의 결과를 좌우한다.","라비린스 게임에 대해 많은 이용자들이 긍정적인 평가를 내려주었습니다. 이 게임은 전략적 사고를 요구하고, 동시에 참가자들의 집중력을 향상시켜주는 점이 높이 평가받았습니다. 깔끔하고 세련된 디자인은 시각적 만족감을, 그리고 독특하고 흥미로운 미로 구성은 재미를 제공하였다고 이용자들이 전했습니다. 하지만 일부 이용자들은 다소 복잡함을 느꼈으며, 사용 설명서가 더 친절하면 좋겠다는 의견도 있었습니다. 이에 라비린스 팀에서는 게임 접근성 개선을 위해 피드백을 반영하겠다는 답변을 하였습니다."
18,Las Vegas,라스베가스,35,3,7,"라스베가스는 주사위를 굴려 카지노에서 승리를 거머잡는 보드게임입니다. 플레이어들이 각자 주사위를 가지고 그 합을 높게 만들어 카지노를 인수하는 메커니즘을 가집니다. 각 단계에서 플레이어는 주사위를 굴리고, 그 값에 해당하는 은행에서 플레이어의 토큰을 배치합니다. 라운드가 끝날 때 각 카지노에서 가장 많은 주사위가 있는 플레이어가 돈을 얻습니다. 이 게임은 운과 전략이 절묘하게 섞인 가벼운 게임으로, 좋은 행운을 빕니다.","""라스베가스""는 간단한 규칙에도 불구하고 전략적인 판단이 요구되는 보드게임으로 사용자들로부터 호평을 받았습니다. 주사위를 사용하여 카지노를 점령하여 돈을 벌어가는 재미있는 컨셉을 가지고 있으며, 가족 및 친구들과의 가벼운 게임으로 적합하다는 평가를 받았습니다. 사용자들은 학습이 쉬워 누구나 즐길 수 있다는 점, 게임 시간이 짧아 여러 번 즐길 수 있다는 특징을 장점으로 꼽았습니다. 그러나 몇몇 사용자들은 재생성도가 부족하다는 단점도 제기하였습니다."
19,Raon,라온,10,2,4,"""라온""은 전략적 생각과 계획성을 요하는 보드게임입니다. 플레이어들은 각자 다른 목표를 달성하기 위해 경쟁하며, 내 차례에 말을 움직이거나 능력을 사용하게 됩니다. 게임은 특정 점수에 도달하거나 특정 조건을 충족시키는 플레이어가 승리하게 되는 방식으로 진행됩니다. 플레이어는 정치, 경제, 문화, 군사 등 다양한 분야에서 전략을 세워야 하며, 상황에 따라 유동적으로 계획을 변경할 필요가 있습니다.","""게임 '라온'은 많은 사용자들로부터 높은 축하를 받았습니다. 다양한 전략적 요소와 참신한 아이디어가 돋보였고, 특히 가족들과 함께 즐길 수 있다는 점을 긍정적으로 평가했습니다. 또한 게임의 진행 속도나 규칙에 대한 이해도가 높아 초보자도 쉽게 접근 가능하다는 점도 좋았다고 언급했습니다. 게임 디자인과 퀄리티에 대한 칭찬이 잇따랐으며, 세세하게 구성된 게임 요소들이 재미를 더했다는 사용자들의 반응이 있었습니다."""
20,Rush Hour Shift,러시아워쉬프트,15,2,2,"러시아워쉬프트는 2명의 플레이어가 차량을 움직이며 고속도로를 통과하는 목표를 가진 전략 보드게임입니다. 게임판 위에 차량 카드를 놓고, 플레이어는 차량들을 이동하거나 회전하여 필요한 공간을 만들어나갑니다. 또한, 쉬프트 카드를 이용해 게임판을 전환함으로써 상대를 혼란스럽게 만들 수도 있습니다. 이동, 회전, 블록 이동 등 다양한 전략을 사용하여 자신의 차량을 고속도로 끝까지 이동시키는 플레이어가 승리합니다. 이 게임은 플레이어의 전략적인 사고와 문제 해결 능력을 향상시키는데 도움을 줍니다.","러시아워쉬프트는 다수의 사용자들로부터 긍정적인 평가를 받았습니다. 독특한 전략 및 논리적 사고를 요구하는 게임으로, 어린이부터 성인까지 모든 연령대가 즐길 수 있다는 점에서 매우 훌륭하다는 의견이 많았습니다. 또한, 게임의 규칙이 간단하고 명확해서 쉽게 배울 수 있으며 장시간 플레이해도 지루하지 않다는 점도 큰 장점으로 여겨졌습니다. 그러나 일부 사용자들은 제품의 품질에 대한 불만을 표현하기도 하였습니다."
21,Sequence,시퀀스,10,4,12,"시퀀스는 전략적인 보드게임으로, 덱에서 카드를 뽑아 5장을 가지고 시작하며, 순서대로 한 장씩 플레이 합니다. 플레이된 카드와 일치하는 보드상의 카드 위치에 칩을 놓습니다. 목표는 보드 위에 5개의 칩을 연결하는 것인데, 이를 시퀀스라 부릅니다. 연속해서 놓이는 칩이 직선, 대각선으로 이어져 있으면 시퀀스가 완성되며, 이를 두 번 완성한 팀 또는 선수가 게임에서 승리하게 됩니다. 게임을 이기기 위해 상대편의 시퀀스를 막거나, 자신의 시퀀스를 미리 완성하는 등 전략적인 요소가 중요합니다.","시퀀스는 전략적인 생각과 운의 요소를 잘 결합한 보드게임으로, 사용자들로부터 높은 평가를 받고 있습니다. 하나의 무늬를 가진 카드를 사용하여 놓는 장소를 정하고, 상대방의 행동을 예측하여 그에 따른 전략을 세우는 것이 중요한 요소로 작용합니다. 플레이어들은 해당 게임이 단순히 판 행운에 의존하는 것이 아니라, 직접적인 전략과 선택이 게임의 결과에 영향을 미친다는 점을 특히 좋아합니다. 또한, 다양한 나이대와 사람들과 함께 즐길 수 있다는 점, 알아보기 쉬운 규칙 등을 장점으로 꼽습니다. 그러나 시퀀스 카드가 부드럽다는 피드백도 있어, 보관과 관리에 주의를 기울여야 한다는 의견도 있습니다."
22,The Resitance : Avalon,레지스탕스 아발론,40,6,10,"레지스탕스 아발론은 블러프와 진실 탐색이 중요한 팀 기반의 보드게임입니다. 이 게임에서 플레이어들은 아서왕의 충실한 신하들과 악명 높은 변절자들 중 하나의 역할을 할당받게 됩니다. 신하들과 변절자들은 각각 팀을 이끌고 미션을 수행하지만, 신하들은 변절자들이 누구인지 모릅니다. 미션에서 실패를 가져오는 것은 변절자들의 목표입니다. 이 게임은 정보 부족 및 블러핑 전략에 의존하며, 플레이어들의 추리와 판단력이 승패를 결정짓습니다.","레지스탕스 아발론에 대한 사용자들의 평가를 종합해보면, 대체로 긍정적이라고 할 수 있습니다. 사용자들은 레지스탕스 아발론이 전략적으로 깊이가 있어 매우 중독성 있다고 합니다. 사람들 사이의 미묘한 심리전을 즐기는 사용자들에게 특히 추천받고 있습니다. 그러나 몇몇 사용자들은 초반에 규칙이 복잡해 이해하기 어렵고, 아는 사람들과 함께하는 것이 최고로 즐겁다는 이중적인 평가를 내리고 있습니다. 끊임없이 변화하는 게임의 흐름과 함께 진실을 파악해야 하는 즐거움이 있지만, 게임을 처음 접하는 사람들에게는 조금 어려울 수 있다는 의견도 있습니다. 이러한 요약된 사용자들의 평가를 통해, 레지스탕스 아발론는 친구들과 함께 공정하며 전략적인 게임을 즐기고 싶은 사람들에게 추천됩니다."
23,The Resistance: Coup,레지스탕스:쿠,15,3,6,"레지스탕스:쿠는 2~6명이 참여하는 블러핑 보드게임입니다. 각 플레이어는 두 장의 캐릭터 카드를 받아, 그 캐릭터의 능력을 활용해 게임을 이끌어갑니다. 플레이어들은 서로의 캐릭터를 숨기며 자신의 생존을 위해 거짓말을 하거나 실력을 제약하는 조치를 취하게 됩니다. 또한, 다른 사람이 자신의 캐릭터를 맞히면 게임에서 제외되며, 마지막으로 남은 플레이어가 승리하게 됩니다. 이 게임은 고도의 전략과 심리적 판단력을 요구합니다.","""레지스탕스:쿠""은 전략적인 블러프와 심리전이 크게 작용하는 게임으로 사용자들의 높은 호평을 받고 있습니다. 교활하게 상대를 속이는 동시에, 상대방의 속임수를 감지해야 하는 높은 집중력과 판단력을 요구한다는 평가입니다. 또한, 간결한 룰로 빠르게 배울 수 있으며, 그러나 오랜 시간 즐기기에도 충분히 깊이 있는 게임성을 제공한다는 점이 특히 사용자들의 찬사를 받았습니다. 적은 인원으로도 즐길 수 있는 점 또한 매력적인 요소로 손꼽히고 있습니다."
